"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.383031625E1,-1.202000427E-1,-8.241262207E0,-8.427474976E-1,8.285111596E0
6.384038725E1,-1.380130005E-1,-7.473059692E0,-1.007105713E0,7.541878458E0
6.385042725E1,-1.107696533E-1,-6.943460999E0,-7.792794800E-1,6.987932245E0
6.386049825E1,-4.370910645E-2,-6.765780487E0,2.588117981E-1,6.770869932E0
6.387056925E1,4.550537109E-2,-7.032525787E0,1.791324921E0,7.257226375E0
6.388063925E1,4.969665527E-2,-7.736362152E0,3.282673645E0,8.404148700E0
6.389068025E1,-2.276765442E-1,-8.882678375E0,4.355043640E0,9.895464458E0
6.390075025E1,-8.699908447E-1,-1.033136581E1,4.820126495E0,1.143361811E1
6.391082125E1,-1.552571411E0,-1.132200577E1,4.338577881E0,1.222381081E1
6.392086225E1,-1.631607056E0,-1.093371323E1,3.014581146E0,1.145844344E1
6.393093225E1,-1.100960541E0,-9.882000275E0,1.845512238E0,1.011295995E1
6.394100325E1,-1.429527283E-1,-8.967851257E0,1.207239532E0,9.049873974E0
6.395104325E1,8.752299500E-1,-8.425828400E0,8.086184692E-1,8.509669530E0
6.396111425E1,1.709594879E0,-8.255332947E0,4.525090027E-1,8.442629988E0
6.397118525E1,2.258952484E0,-8.428971863E0,1.839674377E-1,8.728360499E0
6.398122525E1,2.404300232E0,-8.874445496E0,1.248403931E-1,9.195217647E0
6.399129625E1,2.097588043E0,-9.574839020E0,4.285588074E-1,9.811273134E0
6.400136725E1,1.445693665E0,-1.034932846E1,9.171427917E-1,1.048998478E1
6.401143825E1,5.661227417E-1,-1.143322449E1,1.466799774E0,1.154082400E1
6.402147825E1,-1.404080200E-1,-1.231548981E1,1.921254730E0,1.246524060E1
6.403154925E1,-2.369572449E-1,-1.266561172E1,2.271077271E0,1.286979647E1
6.404162025E1,2.658471680E-1,-1.268596939E1,2.671494598E0,1.296693401E1
6.405166025E1,1.001417542E0,-1.269240601E1,3.018473053E0,1.308476927E1
6.406173125E1,1.637295227E0,-1.257594818E1,3.161725159E0,1.307026068E1
6.407180225E1,2.026785278E0,-1.226833786E1,3.117417297E0,1.281944862E1
6.408184225E1,2.270478516E0,-1.179711777E1,3.105741577E0,1.240857329E1
6.409191325E1,2.560126190E0,-1.143951141E1,3.281925201E0,1.217323706E1
6.410198325E1,2.808310089E0,-1.173634415E1,3.401825867E0,1.253797427E1
6.411205425E1,2.647245026E0,-1.305824524E1,3.501518555E0,1.377629512E1
6.412209425E1,2.250120850E0,-1.432176773E1,2.949616241E0,1.479446892E1
6.413216525E1,2.101779327E0,-1.473266327E1,2.082170105E0,1.502678527E1
6.414223625E1,2.376607819E0,-1.407912231E1,1.412462769E0,1.434799641E1
6.415227625E1,2.592458954E0,-1.316751801E1,1.241069183E0,1.347756011E1
6.416234725E1,2.431543579E0,-1.272863068E1,1.427281952E0,1.303716138E1
6.417241825E1,2.082020416E0,-1.296109726E1,1.520088959E0,1.321497339E1
6.418245825E1,1.780397644E0,-1.330478256E1,1.470991058E0,1.350373539E1
6.419252925E1,1.504371643E0,-1.304058197E1,1.428928528E0,1.320461090E1
6.420260025E1,1.141376495E0,-1.220292389E1,1.407523041E0,1.233674239E1
6.421264025E1,5.891748047E-1,-1.150282974E1,1.964664459E0,1.168426829E1
6.422271125E1,-4.252656555E-1,-1.115450409E1,2.805915070E0,1.150986411E1
6.423278225E1,-2.114203491E0,-1.094538895E1,3.124003601E0,1.157716693E1
6.424285325E1,-3.959566040E0,-1.100840790E1,3.303779755E0,1.215640442E1
6.425289325E1,-5.058880005E0,-1.168365372E1,4.009562073E0,1.334828150E1
6.426296425E1,-5.456752625E0,-1.283580780E1,5.246439972E0,1.490165237E1
6.427303425E1,-5.390590210E0,-1.352991440E1,6.119723969E0,1.579772350E1
6.428307525E1,-4.808899841E0,-1.342872482E1,6.023174744E0,1.548337179E1
6.429314525E1,-3.913910980E0,-1.268537064E1,5.291496277E0,1.429116021E1
6.430321625E1,-2.963088226E0,-1.175131302E1,4.315076752E0,1.286441358E1
6.431325725E1,-2.047292633E0,-1.105271576E1,3.367247772E0,1.173423582E1
6.432332725E1,-1.143621826E0,-1.060065582E1,2.446362762E0,1.093921686E1
6.433339825E1,-2.698887634E-1,-1.038989410E1,1.650617523E0,1.052365325E1
6.434343825E1,5.861810303E-1,-1.042477158E1,1.208586731E0,1.051095393E1
6.435350925E1,1.275048523E0,-1.074136322E1,1.222358093E0,1.088562317E1
6.436358025E1,1.940564575E0,-1.118339401E1,1.273551636E0,1.142173482E1
6.437365125E1,2.694696350E0,-1.146989822E1,1.210832062E0,1.184424198E1
6.438369125E1,3.338058472E0,-1.151211044E1,1.441652069E0,1.207268329E1
6.439376225E1,3.763623505E0,-1.138831787E1,1.947599945E0,1.215120535E1
6.440383325E1,4.059408417E0,-1.118773499E1,2.591710510E0,1.218036018E1
6.441387325E1,4.244273987E0,-1.098445770E1,3.267255707E0,1.222076645E1
6.442394425E1,4.215833130E0,-1.058778259E1,3.573069763E0,1.194324984E1
6.443401525E1,3.868555298E0,-1.002300705E1,3.543581085E0,1.131297297E1
6.444405525E1,3.308719482E0,-9.320817261E0,3.475622406E0,1.048356858E1
6.445412625E1,2.712808685E0,-8.409512329E0,3.267106018E0,9.420892225E0
6.446419725E1,1.928140411E0,-7.530091095E0,3.190315704E0,8.402268244E0
6.447423725E1,1.172960815E0,-6.724167023E0,3.303630066E0,7.583154412E0
6.448430825E1,7.958949280E-1,-6.007607117E0,3.366349640E0,6.932322980E0
6.449437825E1,4.436773682E-1,-5.658083954E0,3.248095551E0,6.539181015E0
6.450444925E1,-2.080673218E-2,-5.456602936E0,3.235222321E0,6.343627667E0
6.451448925E1,-5.131329346E-1,-5.119054871E0,3.043321381E0,5.977443701E0
6.452456025E1,-9.267228699E-1,-4.638703766E0,2.831661530E0,5.513138391E0
6.453463125E1,-1.371448059E0,-4.216731262E0,2.292183380E0,4.991572594E0
6.454467125E1,-1.669927368E0,-3.846401367E0,1.600022736E0,4.488154815E0
6.455474225E1,-1.792223053E0,-3.636837158E0,1.123264160E0,4.207180809E0
6.456481325E1,-2.034269714E0,-3.640130310E0,6.337820435E-1,4.217876435E0
6.457485325E1,-2.255659332E0,-3.731590118E0,-2.409988403E-2,4.360429410E0
6.458492425E1,-2.412533112E0,-3.808530121E0,-7.300318909E-1,4.567073927E0
6.459499525E1,-2.589016113E0,-3.818858643E0,-1.541793823E0,4.864546635E0
6.460503525E1,-2.870281219E0,-3.835773468E0,-2.246079254E0,5.291176088E0
6.461510625E1,-3.241209869E0,-4.000281372E0,-2.546654205E0,5.743965539E0
6.462517725E1,-3.591182098E0,-4.260590057E0,-2.650538177E0,6.170459394E0
6.463524825E1,-3.825894012E0,-4.547543335E0,-2.823877716E0,6.579658102E0
6.464528825E1,-3.960314484E0,-4.856800232E0,-3.332969055E0,7.097977319E0
6.465535925E1,-3.906576233E0,-5.217849426E0,-4.181404724E0,7.744122672E0
6.466542925E1,-3.696113892E0,-5.784870300E0,-5.488786011E0,8.789354593E0
6.467547025E1,-3.518882446E0,-6.748566284E0,-7.305707703E0,1.054983628E1
6.468554125E1,-3.300636292E0,-8.199349365E0,-9.590706024E0,1.304243735E1
6.469561125E1,-2.918480988E0,-1.020517822E1,-1.168904251E1,1.578913895E1
6.470565225E1,-2.465073853E0,-1.277698013E1,-1.317545151E1,1.851810824E1
6.471572225E1,-1.901645508E0,-1.586490875E1,-1.461710358E1,2.165574525E1
6.472579325E1,-1.144969025E0,-1.883503235E1,-1.482816467E1,2.399883050E1
6.473586425E1,-6.300398254E-1,-2.054582474E1,-1.277383667E1,2.420121418E1
6.474590425E1,-4.191284180E-2,-2.000634659E1,-9.741442566E0,2.225199685E1
6.475597525E1,9.123527527E-1,-1.730491425E1,-7.990084534E0,1.908229272E1
6.476604625E1,1.514101410E0,-1.399290161E1,-7.475604401E0,1.593670166E1
6.477609658E1,1.521436157E0,-1.079495178E1,-6.743177490E0,1.281858786E1
6.478616758E1,1.306483154E0,-7.483537903E0,-5.517077179E0,9.388736783E0
6.479623858E1,1.034947815E0,-4.149970093E0,-4.161346436E0,5.967425987E0
6.480627858E1,5.278024292E-1,-1.269060974E0,-3.932921448E0,4.166168777E0
6.481634958E1,-4.197271729E-1,-4.791535950E-1,-5.237458649E0,5.276052707E0
6.482642058E1,-1.040186920E0,-3.456013184E0,-5.599555664E0,6.661909605E0
6.483646058E1,-7.316784668E-1,-7.805817719E0,-3.108136597E0,8.433662119E0
6.484653158E1,-8.780740356E-1,-1.152648056E1,8.987310791E-1,1.159476113E1
6.485660258E1,-2.076032867E0,-1.543829590E1,3.208278351E0,1.590421148E1
6.486667258E1,-3.830534363E0,-2.003748184E1,1.943109283E0,2.049266566E1
6.487671358E1,-4.922962646E0,-2.271765839E1,2.263293457E-1,2.324604888E1
6.488678358E1,-4.629872131E0,-1.929697174E1,-1.307830353E0,1.988766589E1
6.489685458E1,-3.847299500E0,-1.259989838E1,-2.226619720E0,1.336102496E1
6.490689558E1,-4.082909546E0,-7.730524292E0,-8.804690552E-1,8.786716221E0
6.491696558E1,-4.840334473E0,-5.589077454E0,9.515711975E-1,7.454670505E0
6.492703658E1,-4.059109039E0,-5.241799622E0,1.141825562E0,6.727302214E0
6.493707658E1,-1.740730133E0,-5.583988037E0,5.218148804E-1,5.872252938E0
6.494714758E1,8.699908447E-1,-6.088888092E0,1.277593231E0,6.282012952E0
6.495721858E1,3.229983215E0,-6.324647827E0,3.106040955E0,7.751222621E0
6.496725858E1,5.161416779E0,-6.203100586E0,4.662803650E0,9.319893665E0
6.497732958E1,6.495143280E0,-6.253845062E0,5.297783203E0,1.045772304E1
6.498740058E1,7.116501160E0,-6.716383209E0,4.982838135E0,1.098103219E1
6.499747158E1,7.326813812E0,-7.524103546E0,4.554279327E0,1.144708675E1
6.500751158E1,7.169940033E0,-8.516689453E0,4.411326599E0,1.197505080E1
6.501758258E1,6.632557526E0,-9.533824310E0,4.361929321E0,1.240608934E1
6.502765358E1,5.277724915E0,-1.067714676E1,3.767515411E0,1.249199806E1
6.503769358E1,3.060236206E0,-1.192555069E1,2.867886200E0,1.264154168E1
6.504776458E1,8.861572266E-1,-1.267773651E1,1.816023560E0,1.283776535E1
6.505783458E1,-1.038839722E0,-1.278775772E1,8.666976929E-1,1.285912518E1
6.506787558E1,-2.787653046E0,-1.202554276E1,3.721261597E-1,1.235002696E1
6.507794658E1,-4.188739471E0,-1.081800385E1,4.730163574E-2,1.160073200E1
6.508801658E1,-5.153632965E0,-9.570348358E0,-4.314028931E-1,1.087830910E1
6.509805758E1,-5.830525360E0,-8.384214935E0,-1.271156616E0,1.029106045E1
6.510812758E1,-5.885610809E0,-7.279362488E0,-1.963167572E0,9.564703850E0
6.511819858E1,-5.006788330E0,-6.393504639E0,-1.960024109E0,8.353832980E0
6.512826958E1,-3.795207825E0,-6.016588440E0,-1.270408173E0,7.226124536E0
6.513830958E1,-2.392923889E0,-6.271807709E0,-4.460723877E-2,6.712946185E0
6.514838058E1,-8.749305725E-1,-6.958130493E0,1.064286804E0,7.093221403E0
6.515845158E1,3.537144470E-1,-7.834258575E0,1.613794098E0,8.006563103E0
6.516849158E1,7.062313843E-1,-9.076525269E0,1.267414398E0,9.191757883E0
6.517856258E1,9.069639587E-1,-9.811796265E0,3.421884155E-1,9.859565025E0
6.518863358E1,1.200503540E0,-9.891730042E0,-3.305126953E-1,9.969792907E0
6.519867358E1,1.463806000E0,-9.512718201E0,-5.031037903E-1,9.637823872E0
6.520874458E1,1.716929626E0,-8.842861176E0,-2.242337036E-1,9.010789192E0
6.521881558E1,1.854942627E0,-8.103847961E0,3.433859253E-1,8.320521488E0
6.522888558E1,1.843416595E0,-7.584278412E0,1.331780548E0,7.917897650E0
6.523892658E1,1.656006317E0,-7.389683075E0,2.757565613E0,8.059400783E0
6.524899758E1,1.286724243E0,-7.646698608E0,4.395459595E0,8.913345272E0
6.525906758E1,7.096742249E-1,-8.458161163E0,5.358706512E0,1.003792126E1
6.526910858E1,-6.481521606E-2,-9.829758911E0,4.921765137E0,1.099327673E1
6.527917858E1,-8.904981995E-1,-1.121437958E1,3.284020844E0,1.171921880E1
6.528924958E1,-1.467248840E0,-1.197075668E1,9.111552429E-1,1.209471118E1
6.529929058E1,-1.443598022E0,-1.195264435E1,-1.702260132E0,1.215925046E1
6.530936058E1,-6.971003723E-1,-1.115719849E1,-4.087400208E0,1.190276722E1
6.531943158E1,3.058140564E-1,-1.008303223E1,-5.420827332E0,1.145191818E1
6.532947158E1,1.002615051E0,-9.222920837E0,-4.986580353E0,1.053249682E1
6.533954258E1,1.228645020E0,-8.556656342E0,-2.717898102E0,9.061617208E0
6.534961358E1,1.179247742E0,-7.958051147E0,7.884104919E-1,8.083489000E0
6.535968458E1,6.674620056E-1,-7.876171417E0,4.725373535E0,9.209165911E0
6.536972458E1,5.628295898E-2,-8.515342255E0,7.531138916E0,1.136803742E1
6.537979558E1,-4.656816101E-1,-9.734556885E0,7.904312897E0,1.254817196E1
6.538986658E1,-6.936575317E-1,-1.114642090E1,6.229445801E0,1.278787921E1
6.539990658E1,-3.347039795E-1,-1.240620117E1,4.199966125E0,1.310212081E1
6.540997758E1,6.367758179E-1,-1.311033691E1,2.767594757E0,1.341439519E1
6.542004858E1,1.750160522E0,-1.335118607E1,2.260000305E0,1.365374793E1
6.543008858E1,2.553240509E0,-1.329355591E1,2.260748749E0,1.372401729E1
6.544015958E1,2.843486938E0,-1.313623306E1,2.430046692E0,1.365837340E1
6.545022958E1,2.711910553E0,-1.274464737E1,2.787952423E0,1.332490803E1
6.546027058E1,2.515369263E0,-1.218585938E1,3.175197144E0,1.284150023E1
6.547034158E1,2.288141785E0,-1.212538513E1,3.536246338E0,1.283610516E1
6.548041158E1,1.735191650E0,-1.285197418E1,3.627107391E0,1.346625555E1
6.549048258E1,1.081950073E0,-1.392524231E1,3.100652161E0,1.430723709E1
6.550052258E1,8.906478882E-1,-1.474014771E1,2.436632996E0,1.496670934E1
6.551059358E1,1.426982574E0,-1.475317062E1,1.935774536E0,1.494789436E1
6.552066458E1,2.050286407E0,-1.424602524E1,1.673070831E0,1.448972310E1
6.553070458E1,2.214644623E0,-1.387764130E1,1.589245148E0,1.414281722E1
6.554077558E1,2.040107574E0,-1.348096619E1,1.367406464E0,1.370285695E1
6.555084658E1,1.707499237E0,-1.281874329E1,9.119036865E-1,1.296407735E1
6.556088658E1,1.368154907E0,-1.190564209E1,5.361849976E-1,1.199598499E1
6.557095758E1,1.088386688E0,-1.090766739E1,6.095324707E-1,1.097876693E1
6.558102858E1,7.556286621E-1,-1.018347336E1,1.052012329E0,1.026551676E1
6.559106858E1,2.109114075E-1,-1.010743149E1,1.545536041E0,1.022708837E1
6.560113958E1,-6.376739502E-1,-1.063493454E1,2.092798004E0,1.085763622E1
6.561121058E1,-1.678759003E0,-1.115180969E1,2.350112915E0,1.151972751E1
6.562128058E1,-2.521805878E0,-1.171344177E1,2.436632996E0,1.222707665E1
6.563132158E1,-2.995271301E0,-1.267129990E1,2.858755188E0,1.333064036E1
6.564139258E1,-3.151396637E0,-1.369382355E1,3.681594086E0,1.452605380E1
6.565146258E1,-2.923570404E0,-1.428389648E1,4.531376953E0,1.526795139E1
6.566150358E1,-2.253264313E0,-1.391326721E1,5.181325378E0,1.501673524E1
6.567157358E1,-1.347198486E0,-1.301887711E1,5.488187256E0,1.419247351E1
6.568164458E1,-6.319857788E-1,-1.239916580E1,5.398224335E0,1.353807758E1
6.569168558E1,-2.514770508E-1,-1.220217545E1,5.039570160E0,1.320430209E1
6.570175558E1,-4.296066284E-2,-1.200039505E1,4.284689941E0,1.274244462E1
6.571182658E1,3.200344849E-1,-1.172871002E1,3.519331512E0,1.224952061E1
6.572189758E1,7.698490906E-1,-1.151570297E1,2.875220947E0,1.189415731E1
6.573193758E1,1.299298096E0,-1.135658386E1,1.962269440E0,1.159787368E1
6.574200858E1,1.922152863E0,-1.107307343E1,8.277786255E-1,1.126911018E1
6.575207958E1,2.554288330E0,-1.060275146E1,-1.067280579E-1,1.090660893E1
6.576211958E1,3.044967957E0,-1.023242157E1,-3.144960022E-1,1.068050508E1
6.577222588E1,3.473676453E0,-9.872420197E0,1.513352966E-1,1.046680520E1
6.578229687E1,3.749852142E0,-9.660011902E0,1.085093536E0,1.041895623E1
6.579233687E1,3.918701019E0,-9.679471436E0,2.069296875E0,1.064567398E1
6.580240787E1,3.855682068E0,-9.747579803E0,2.770738220E0,1.084244375E1
6.581247887E1,3.658542023E0,-9.636061707E0,2.959196320E0,1.072359351E1
6.582251888E1,3.382366333E0,-9.292675781E0,3.270099792E0,1.041574663E1
6.583258987E1,2.943179626E0,-8.790170746E0,3.598217468E0,9.943670198E0
6.584265987E1,2.590513000E0,-7.935747528E0,3.903432770E0,9.215401989E0
6.585273087E1,2.239343262E0,-6.974745941E0,4.349205780E0,8.519232953E0
6.586277187E1,1.850451965E0,-6.042035522E0,4.580923920E0,7.804820926E0
6.587284187E1,1.182091827E0,-5.252876587E0,4.121978302E0,6.780911343E0
6.588291288E1,1.866618347E-1,-4.666994934E0,3.858825531E0,6.058565741E0
6.589295287E1,-9.804611206E-1,-4.103267212E0,3.594924316E0,5.542705717E0
6.590302387E1,-1.998943176E0,-3.492387543E0,3.058889008E0,5.054636142E0
6.591309487E1,-2.795137482E0,-2.921923828E0,2.448458405E0,4.727090115E0
6.592313487E1,-3.456761627E0,-2.491718445E0,1.680255890E0,4.580515431E0
6.593320587E1,-3.875890045E0,-2.039209442E0,8.256829834E-1,4.456753435E0
6.594327687E1,-4.145030365E0,-1.817969513E0,-1.481918335E-1,4.528603614E0
6.595331687E1,-4.405788116E0,-2.069596252E0,-1.129551086E0,4.997007428E0
6.596338787E1,-4.515210571E0,-2.283351746E0,-1.910477142E0,5.408395752E0
6.597345887E1,-4.430636444E0,-2.361189880E0,-2.732118530E0,5.715787664E0
6.598352987E1,-4.198918304E0,-2.817740479E0,-2.672991486E0,5.719742985E0
6.599356987E1,-4.073928223E0,-3.736230469E0,-2.411185913E0,6.030765025E0
6.600364087E1,-4.004772034E0,-4.881349182E0,-2.506238251E0,6.793158253E0
6.601371187E1,-3.909869385E0,-5.927673340E0,-2.747985535E0,7.614185073E0
6.602375188E1,-3.729943542E0,-6.658603363E0,-3.224744110E0,8.285436147E0
6.603382287E1,-3.515888672E0,-7.234605560E0,-4.142635345E0,9.047785274E0
6.604389287E1,-3.441493378E0,-8.045020294E0,-5.829627228E0,1.051431319E1
6.605393387E1,-3.204536133E0,-9.264234924E0,-8.170459442E0,1.276132862E1
6.606400387E1,-2.594105530E0,-1.104029160E1,-1.094389206E1,1.576027269E1
6.607407487E1,-1.527274017E0,-1.334415070E1,-1.277398636E1,1.853573983E1
6.608414588E1,-1.673519897E-1,-1.584230576E1,-1.279000305E1,2.036150379E1
6.609418587E1,9.373507690E-1,-1.803599396E1,-1.327694046E1,2.241546012E1
6.610425687E1,1.258433075E0,-1.883039200E1,-1.344983093E1,2.317466869E1
6.611432787E1,8.193960571E-1,-1.721150848E1,-1.193632828E1,2.096147340E1
6.612436787E1,1.152603149E-1,-1.438957672E1,-1.005414230E1,1.755445757E1
6.613443888E1,-5.998027039E-1,-1.180295563E1,-8.656199341E0,1.464920857E1
6.614450987E1,-1.207389221E0,-9.426497498E0,-7.294630737E0,1.198032894E1
6.615454987E1,-1.247356110E0,-6.717580719E0,-5.964945831E0,9.069860349E0
6.616462087E1,-1.434167633E0,-4.617747345E0,-6.228397980E0,7.885009114E0
6.617469187E1,-2.571951599E0,-5.247936859E0,-6.873406677E0,9.022166905E0
6.618473187E1,-3.478466492E0,-8.298293610E0,-5.787115631E0,1.069822945E1
6.619480287E1,-3.034489746E0,-1.122231308E1,-3.375181274E0,1.210538258E1
6.620487387E1,-2.219135284E0,-1.412836990E1,-1.178349609E0,1.435004897E1
6.621494387E1,-2.054926758E0,-1.719638992E1,-3.772155762E-2,1.731877517E1
6.622498487E1,-2.525099030E0,-2.001951920E1,-3.002755737E-1,2.018037263E1
6.623505587E1,-2.955753479E0,-2.134052216E1,-1.538201294E0,2.159908396E1
6.624512587E1,-2.715203705E0,-1.753723114E1,-1.689386902E0,1.782640837E1
6.625516687E1,-2.045646057E0,-1.022508682E1,-5.403762817E-2,1.042784678E1
6.626523687E1,-1.926793213E0,-4.657564545E0,3.215164032E0,5.978521500E0
6.627530787E1,-2.696043549E0,-1.108894043E0,5.104235687E0,5.878053995E0
6.628534787E1,-3.388054504E0,6.586303711E-1,4.166585541E0,5.410466002E0
6.629541887E1,-3.128344574E0,6.059399414E-1,1.467847595E0,3.508315771E0
6.630548987E1,-1.534159698E0,-1.397493896E0,-8.849597168E-1,2.256056044E0
6.631552987E1,4.044589233E-1,-4.588707733E0,-1.275647278E0,4.779864188E0
6.632560087E1,2.012714539E0,-7.687563629E0,-2.832110596E-1,7.951720749E0
6.633567188E1,3.122656403E0,-1.017539017E1,9.922865295E-1,1.068991023E1
6.634574287E1,3.933819580E0,-1.205862396E1,2.558629303E0,1.293954915E1
6.635578287E1,4.581522675E0,-1.303863602E1,3.991000671E0,1.438486933E1
6.636585387E1,4.952151947E0,-1.292861481E1,4.711602173E0,1.462436613E1
6.637592487E1,5.240153046E0,-1.213451614E1,4.525090027E0,1.397075967E1
6.638596488E1,5.541177063E0,-1.136421799E1,3.830234985E0,1.321063184E1
6.639603587E1,5.324128418E0,-1.082878143E1,2.599494324E0,1.234367131E1
6.640610687E1,4.199666748E0,-1.037507492E1,1.076411591E0,1.124446719E1
6.641614687E1,2.714455261E0,-9.802814941E0,-6.825805664E-2,1.017192741E1
6.642621787E1,1.259929962E0,-9.142238617E0,-7.479945374E-1,9.258911722E0
6.643628787E1,-7.484436035E-2,-8.620573425E0,-1.048419800E0,8.684415463E0
6.644635888E1,-1.172960815E0,-8.280181274E0,-1.058898010E0,8.429620632E0
6.645639987E1,-1.934277649E0,-8.038583679E0,-8.583151245E-1,8.312458267E0
6.646646987E1,-2.389780426E0,-7.851622467E0,-5.418731689E-1,8.225123244E0
6.647654087E1,-2.645748138E0,-7.854017487E0,-4.686753845E-1,8.300917450E0
6.648658087E1,-2.652035065E0,-7.869285736E0,-7.441026306E-1,8.337423865E0
6.649665187E1,-2.368225250E0,-7.887847137E0,-7.972421265E-1,8.274189888E0
6.650672287E1,-1.967508545E0,-8.057594147E0,-4.152365112E-1,8.304717615E0
6.651676287E1,-1.470242615E0,-8.470136261E0,-1.558259583E-1,8.598203496E0
6.652683387E1,-9.984237671E-1,-9.025481415E0,-5.553451538E-2,9.080707509E0
6.653690487E1,-6.450086975E-1,-9.629176025E0,2.710862732E-1,9.654561353E0
6.654694487E1,-4.143383789E-1,-1.004471191E1,2.487826538E-1,1.005633166E1
6.655701587E1,-1.498384094E-1,-9.975855103E0,-9.205856323E-2,9.977405041E0
6.656708687E1,1.499880981E-1,-9.730964355E0,-1.398092651E-1,9.733124388E0
6.657715787E1,4.534071350E-1,-9.331145782E0,-2.706372070E-1,9.346074264E0
6.658719788E1,7.210505676E-1,-8.857081604E0,-6.472540283E-1,8.909924031E0
6.659726887E1,9.524693298E-1,-8.409662018E0,-9.738748169E-1,8.519274924E0
6.660733887E1,1.150208130E0,-7.891888733E0,-1.212778015E0,8.066952152E0
6.661737987E1,1.198856964E0,-7.490722961E0,-1.139430542E0,7.671146620E0
6.662745087E1,1.113684082E0,-7.402256927E0,-3.140469360E-1,7.492150915E0
6.663752087E1,8.376580811E-1,-7.515571289E0,1.260977783E0,7.666521234E0
6.664756187E1,4.240681458E-1,-7.739804993E0,3.135379944E0,8.361520347E0
6.665763187E1,-4.984634399E-2,-7.962841187E0,4.902604980E0,9.351195646E0
6.666770287E1,-6.322851562E-1,-8.224796448E0,6.044879608E0,1.022680940E1
6.667774287E1,-1.295855255E0,-8.687184906E0,6.100414124E0,1.069399247E1
6.668781387E1,-1.867666168E0,-9.270372162E0,4.657265167E0,1.054125684E1
6.669788488E1,-1.965861969E0,-9.768386536E0,2.187700653E0,1.020156963E1
6.670795587E1,-1.319955139E0,-1.010593460E1,-3.945794678E-1,1.019940629E1
6.671799587E1,-3.817062378E-2,-1.023361908E1,-2.370021515E0,1.050454275E1
6.672806687E1,1.249900818E0,-1.022029678E1,-3.198997650E0,1.078194344E1
6.673813787E1,1.978136444E0,-1.035621414E1,-2.880310364E0,1.092979336E1
6.674817787E1,2.062560883E0,-1.086291046E1,-1.904788971E0,1.121985749E1
6.675824887E1,2.002386017E0,-1.143502075E1,-4.393363953E-1,1.161732610E1
6.676831987E1,1.873204651E0,-1.196027847E1,1.494492188E0,1.219797785E1
6.677838283E1,1.773362274E0,-1.251352798E1,3.470083923E0,1.310628394E1
6.678845383E1,1.754950562E0,-1.298654434E1,4.994962921E0,1.402425898E1
6.679852483E1,1.804946594E0,-1.329939377E1,5.535788269E0,1.451814928E1
6.680859483E1,1.900298309E0,-1.354608078E1,5.140310669E0,1.461267368E1
6.681863583E1,2.148182831E0,-1.352347778E1,4.199217682E0,1.432244986E1
6.682870583E1,2.661764832E0,-1.326661194E1,3.161425781E0,1.389541641E1
6.683877683E1,3.338956604E0,-1.337962692E1,2.489622803E0,1.401289654E1
6.684881783E1,3.810775452E0,-1.440619217E1,2.371518402E0,1.508921740E1
6.685888783E1,3.655398560E0,-1.569710770E1,2.256856842E0,1.627435195E1
6.686895883E1,3.068319397E0,-1.621787476E1,1.856888580E0,1.660969839E1
6.687899883E1,2.690654755E0,-1.561028824E1,1.359772339E0,1.589873274E1
6.688906983E1,2.414628754E0,-1.481304611E1,1.087937622E0,1.504793592E1
6.689914083E1,1.948348389E0,-1.440364746E1,9.482780457E-1,1.456572528E1
6.690918083E1,1.491049347E0,-1.389964554E1,7.463479614E-1,1.399930032E1
6.691925183E1,1.358425140E0,-1.286963745E1,7.370672607E-1,1.296210458E1
6.692932283E1,1.394500122E0,-1.132200577E1,1.206491089E0,1.147118416E1
6.693939383E1,1.126407623E0,-9.723479919E0,1.950294342E0,9.980906968E0
6.694943383E1,1.091230774E-1,-8.800199890E0,2.525548096E0,9.156080992E0
6.695950483E1,-1.460213470E0,-8.730594635E0,2.640359344E0,9.237261690E0
6.696957583E1,-2.795586548E0,-9.635313263E0,2.156864777E0,1.026190194E1
6.697961583E1,-3.278182983E0,-1.165685944E1,1.978735199E0,1.226964745E1
6.698968683E1,-3.034789124E0,-1.388782013E1,3.005450134E0,1.452977025E1
6.699975683E1,-2.694396973E0,-1.521511002E1,4.679269409E0,1.614481062E1
6.700979783E1,-2.365830231E0,-1.534444107E1,5.822292480E0,1.658155946E1
6.701986883E1,-2.260149994E0,-1.439242081E1,6.106551361E0,1.579683589E1
6.702993883E1,-2.318528595E0,-1.275123367E1,5.669759674E0,1.414622599E1
6.703997983E1,-2.154769135E0,-1.119087845E1,4.862338715E0,1.239036433E1
6.705004983E1,-1.728904724E0,-1.028571075E1,4.057462463E0,1.119142345E1
6.706012083E1,-1.052012329E0,-1.002929398E1,3.260220337E0,1.059823118E1
6.707019183E1,-2.508782959E-1,-1.030711624E1,2.221230927E0,1.054672707E1
6.708023183E1,5.081932068E-1,-1.098999619E1,1.101559296E0,1.105674949E1
6.709030283E1,1.325194244E0,-1.183124680E1,3.802093506E-1,1.191130134E1
6.710037383E1,2.010768585E0,-1.236922806E1,-2.095642090E-2,1.253161730E1
6.711041383E1,2.505789185E0,-1.251966522E1,3.637435913E-2,1.276801942E1
6.712048483E1,2.840642853E0,-1.207898163E1,3.832031250E-1,1.241442281E1
6.713055583E1,3.044219513E0,-1.115465378E1,1.247206421E0,1.162966454E1
